hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
ホテルリソルトリニティ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182884,4200,098-863-9269,4.4
ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,3830,098-868-9055,4.37
ダイワロイネットホテル那覇おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134763,3800,098-862-4555,4.49
ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,7926,098-866-8888,4.64
ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,5142,098-868-2222,3.93
ヒューイットリゾート那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181785,5110,098-943-8325,4.29
ダイワロイネットホテル沖縄県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104526,4500,098-860-1855,4.19
東急ステイ沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177761,5550,098-833-1090,4.48
ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,5850,098-887-1111,4.4
沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,3375,098-853-2111,4.27
ＨＯＴＥＬ　ＳＡＮＳＵＩ　ＮＡＨＡ　琉球温泉　波之上の湯,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178447,4386,0120-996-941,4.14
ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,4600,098-868-6578,4.36
ホテルアクアチッタナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163087,4464,0120-996-941,4.32
ホテル　ストレータ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178292,4250,098-860-7400,4.45
ホテルグレイスリー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149369,5000,098-867-6111,4.5
リーガロイヤルグラン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136808,7466,098-867-3331,4.67
サンプラザホテル＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18195,2000,098-866-0920,4.14
ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,4100,098-865-5551,4.31
沖縄かりゆしリゾートエグゼス那覇＜県庁前＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171943,8920,098-860-3300,4.61
西鉄リゾートイン那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130025,4200,098-869-5454,4.32
アパホテル〈那覇〉,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67292,3600,098-868-9111,3.97
リッチモンドホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19934,3170,098-869-0077,4.18
アルモントホテル那覇おもろまち(旧ホテル法華クラブ那覇新都心),https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40768,3700,098-860-6611,4.54
ロワジールスパタワー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78094,7968,098-868-2222,3.96
ソルヴィータホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=43753,3450,098-863-1234,4.5
ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,7200,098-861-8700,4.38
Ｓｏｕｔｈｗｅｓｔ　Ｇｒａｎｄ　Ｈｏｔｅｌ（２０２３年６月２０日新規開業）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184913,13750,098-860-0421,4.33
ＯＭＯ５沖縄那覇　ｂｙ　星野リゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181957,3200,05031348095,4.26
コンフォートホテル那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73870,3750,098-941-7311,4.24
那覇東急ＲＥＩホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76923,4370,098-869-0109,4.32
